team,prior,games,perf_sum,rating,change
SEA,7.845,0,0.0,7.845,0.0
LA,7.576,0,0.0,7.576,0.0
NE,4.736,0,0.0,4.736,0.0
BUF,4.631,0,0.0,4.631,0.0
HOU,4.57,0,0.0,4.57,0.0
JAX,3.995,0,0.0,3.995,0.0
DET,2.702,0,0.0,2.702,0.0
IND,2.64,0,0.0,2.64,0.0
DEN,2.525,0,0.0,2.525,0.0
GB,2.365,0,0.0,2.365,0.0
PHI,2.085,0,0.0,2.085,0.0
SF,1.85,0,0.0,1.85,0.0
CHI,1.716,0,0.0,1.716,0.0
KC,0.944,0,0.0,0.944,0.0
BAL,0.828,0,0.0,0.828,0.0
LAC,0.616,0,0.0,0.616,0.0
TB,-0.322,0,0.0,-0.322,0.0
MIN,-0.537,0,0.0,-0.537,0.0
PIT,-0.754,0,0.0,-0.754,0.0
ATL,-0.91,0,0.0,-0.91,0.0
NYG,-1.782,0,0.0,-1.782,0.0
NO,-2.294,0,0.0,-2.294,0.0
DAL,-2.301,0,0.0,-2.301,0.0
CAR,-2.399,0,0.0,-2.399,0.0
ARI,-2.632,0,0.0,-2.632,0.0
CIN,-3.208,0,0.0,-3.208,0.0
WAS,-3.657,0,0.0,-3.657,0.0
MIA,-3.671,0,0.0,-3.671,0.0
CLE,-4.995,0,0.0,-4.995,0.0
TEN,-5.745,0,0.0,-5.745,0.0
LV,-7.348,0,0.0,-7.348,0.0
NYJ,-9.07,0,0.0,-9.07,0.0
