team,prior,games,perf_sum,rating,change
SEA,7.845,1,11.864,8.247,0.402
JAX,3.995,1,23.744,5.97,1.975
BUF,4.631,1,14.641,5.632,1.001
SF,1.85,1,34.631,5.128,3.278
NE,4.736,1,0.717,4.334,-0.402
LA,7.576,1,-25.204,4.298,-3.278
BAL,0.828,1,34.356,4.181,3.353
KC,0.944,1,29.74,3.824,2.88
HOU,4.57,1,-5.441,3.569,-1.001
CHI,1.716,1,15.749,3.12,1.403
DET,2.702,1,-2.123,2.22,-0.483
PHI,2.085,1,-4.066,1.47,-0.615
GB,2.365,1,-10.983,1.03,-1.335
MIN,-0.537,1,12.811,0.798,1.335
ARI,-2.632,1,22.831,-0.085,2.546
DEN,2.525,1,-26.271,-0.355,-2.88
PIT,-0.754,1,0.494,-0.629,0.125
IND,2.64,1,-30.888,-0.713,-3.353
ATL,-0.91,1,-2.158,-1.035,-0.125
NYG,-1.782,1,5.135,-1.09,0.692
TB,-0.322,1,-11.607,-1.451,-1.128
NO,-2.294,1,2.531,-1.812,0.483
LAC,0.616,1,-24.847,-1.93,-2.546
CIN,-3.208,1,8.077,-2.079,1.128
DAL,-2.301,1,-9.218,-2.993,-0.692
WAS,-3.657,1,2.495,-3.042,0.615
CAR,-2.399,1,-16.432,-3.802,-1.403
MIA,-3.671,1,-18.725,-5.176,-1.505
LV,-7.348,1,7.706,-5.843,1.505
NYJ,-9.07,1,12.311,-6.932,2.138
CLE,-4.995,1,-24.745,-6.97,-1.975
TEN,-5.745,1,-27.126,-7.883,-2.138
